date,category,category_enc,month,week_of_year,is_festival,is_weekend,base_price,cost_price,comp_price,price_ratio,margin_pct,sales_last_week,sales_last_month,daily_demand,season_factor,festival_factor,stock,stock_weeks,lead_time,expiry_days,days_to_sell,fraction_at_risk,will_sell_before_expiry,actual_demand_7d,actual_demand_post_disc,demand_cv,elasticity,discount_tier,discount_pct,order_decision,health_score
2021-08-17,Grocery,1,8,33,0,0,476.34,331.72,490.44,0.971,30.4,65.3,266.4,9.73,1.0,1.2,196,3.4,1,50,20.1,0.0,1,68.1,75.5,0.14,-1.2,1,9,0,78
2022-05-17,Fashion,0,5,20,0,0,1728.94,914.11,1693.64,1.021,47.1,26.4,106.5,4.31,1.0,1.0,35,1.21,8,322,8.1,0.0,1,30.2,30.2,0.28,-2.0,0,0,0,72
2021-07-29,Electronics,2,7,30,0,0,39473.41,22892.65,39641.97,0.996,42.0,19.0,91.6,3.0,1.0,1.0,75,3.0,20,644,25.0,0.0,1,21.0,21.0,0.32,-1.8,0,0,0,77
2021-06-28,Fashion,0,6,26,0,0,3514.9,1813.77,3116.35,1.128,48.4,15.4,50.1,2.14,0.7,1.0,160,5.25,14,612,74.7,0.0,1,15.0,16.5,0.28,-2.0,1,5,0,67
2021-03-03,Electronics,2,3,9,0,0,10057.05,6994.05,10887.16,0.924,30.5,46.2,186.9,7.87,1.0,1.0,122,3.24,11,476,15.5,0.0,1,55.1,63.0,0.32,-1.8,1,8,0,78
2023-11-01,Grocery,1,11,44,1,0,417.79,259.59,390.33,1.07,37.9,538.4,2318.9,80.74,1.4,2.2,1277,3.52,3,4,15.8,0.747,0,565.2,707.6,0.14,-1.2,2,21,0,52
2023-05-10,Fashion,0,5,19,0,0,4131.67,2297.33,4415.52,0.936,44.4,46.7,258.7,8.46,1.0,1.0,146,2.3,8,639,17.3,0.0,1,59.2,59.2,0.28,-2.0,0,0,0,75
2022-07-24,Fashion,0,7,29,0,1,1760.62,878.16,1881.89,0.936,50.1,106.4,383.2,14.47,1.3,1.0,180,2.57,5,343,12.4,0.0,1,101.3,101.3,0.28,-2.0,0,0,0,76
2023-05-16,FMCG,3,5,20,0,0,470.96,289.94,470.08,1.002,38.4,131.3,595.5,20.5,1.0,1.0,287,1.98,4,202,14.0,0.0,1,143.5,143.5,0.12,-1.5,0,0,0,74
2021-11-15,Electronics,2,11,46,0,0,45470.66,26709.19,44248.18,1.028,41.3,46.7,167.9,5.81,2.2,0.75,73,1.42,13,537,12.6,0.0,1,40.7,40.7,0.32,-1.8,0,0,3,72
2021-07-29,FMCG,3,7,30,0,0,189.93,120.39,192.17,0.988,36.6,224.8,901.1,32.61,1.0,1.0,441,2.12,2,254,13.5,0.0,1,228.3,228.3,0.12,-1.5,0,0,0,74
2021-07-18,Grocery,1,7,28,0,1,412.65,297.99,351.61,1.174,27.8,81.4,322.4,11.91,1.0,1.0,98,0.88,2,57,8.2,0.0,1,83.4,83.4,0.14,-1.2,0,0,2,62
